tau,feasible,clean_coverage,clean_cmsa,degraded_coverage,degraded_cmsa,failure_recall,abstention_precision
0.005849753694581281,False,0.9733333333333334,0.9657534246575342,0.82,0.7113821138211383,0.432,1.0
0.07988496564946478,False,0.9733333333333334,0.9657534246575342,0.8166666666666667,0.7142857142857143,0.44,1.0
0.08606902356902357,False,0.9733333333333334,0.9657534246575342,0.8133333333333334,0.7172131147540983,0.448,1.0
0.08670520231213869,False,0.9733333333333334,0.9657534246575342,0.81,0.720164609053498,0.456,1.0
0.09883547327560466,False,0.9733333333333334,0.9657534246575342,0.8066666666666666,0.7231404958677686,0.464,1.0
0.13355201499531397,False,0.97,0.9656357388316151,0.8066666666666666,0.7231404958677686,0.464,1.0
0.1643598615916955,False,0.97,0.9656357388316151,0.8033333333333333,0.7261410788381742,0.472,1.0
0.20745614035087723,False,0.97,0.9656357388316151,0.8,0.7291666666666666,0.48,1.0
0.23272214386459802,False,0.9666666666666667,0.9655172413793104,0.8,0.7291666666666666,0.48,1.0
0.2912391475927388,False,0.9666666666666667,0.9655172413793104,0.7966666666666666,0.7322175732217573,0.488,1.0
0.312199036918138,False,0.9666666666666667,0.9655172413793104,0.7933333333333333,0.7352941176470589,0.496,1.0
0.32647536545749867,False,0.9666666666666667,0.9655172413793104,0.79,0.7383966244725738,0.504,1.0
0.32993348115299337,False,0.9666666666666667,0.9655172413793104,0.7866666666666666,0.7415254237288136,0.512,1.0
0.3436795994993742,False,0.9666666666666667,0.9655172413793104,0.7833333333333333,0.7446808510638298,0.52,1.0
0.3737906772207564,False,0.9666666666666667,0.9655172413793104,0.78,0.7478632478632479,0.528,1.0
0.38560267857142855,True,0.9666666666666667,0.9655172413793104,0.7766666666666666,0.7510729613733905,0.536,1.0
0.4105960264900662,True,0.9666666666666667,0.9655172413793104,0.7733333333333333,0.7543103448275862,0.544,1.0
0.41191806331471137,True,0.9666666666666667,0.9655172413793104,0.77,0.7575757575757576,0.552,1.0
0.4225721784776903,True,0.9633333333333334,0.9688581314878892,0.77,0.7575757575757576,0.552,1.0
0.4395053475935829,True,0.9633333333333334,0.9688581314878892,0.7666666666666667,0.7608695652173914,0.56,1.0
0.45367551109177906,True,0.9633333333333334,0.9688581314878892,0.7633333333333333,0.7641921397379913,0.568,1.0
0.45843714609286523,True,0.9633333333333334,0.9688581314878892,0.76,0.7675438596491229,0.576,1.0
0.4600520252694166,True,0.9633333333333334,0.9688581314878892,0.7566666666666667,0.7709251101321586,0.584,1.0
0.4710900473933649,True,0.9633333333333334,0.9688581314878892,0.7533333333333333,0.7743362831858407,0.592,1.0
0.4911083540115798,True,0.9633333333333334,0.9688581314878892,0.75,0.7777777777777778,0.6,1.0
0.496875,True,0.9633333333333334,0.9688581314878892,0.7466666666666667,0.7767857142857143,0.6,0.9868421052631579
0.5023809523809524,True,0.96,0.96875,0.7466666666666667,0.7767857142857143,0.6,0.9868421052631579
0.5029801961161315,True,0.96,0.96875,0.7433333333333333,0.7802690582959642,0.608,0.987012987012987
0.5065180102915952,True,0.9566666666666667,0.9721254355400697,0.7433333333333333,0.7802690582959642,0.608,0.987012987012987
0.5080572963294538,True,0.9533333333333334,0.972027972027972,0.7433333333333333,0.7802690582959642,0.608,0.987012987012987
0.5312791783380019,True,0.9533333333333334,0.972027972027972,0.74,0.7837837837837838,0.616,0.9871794871794872
0.536723163841808,True,0.95,0.9719298245614035,0.74,0.7837837837837838,0.616,0.9871794871794872
0.5518686692280824,True,0.95,0.9719298245614035,0.7366666666666667,0.7873303167420814,0.624,0.9873417721518988
0.5525587828492393,True,0.95,0.9719298245614035,0.7333333333333333,0.7909090909090909,0.632,0.9875
0.5664989216391085,True,0.95,0.9719298245614035,0.73,0.7945205479452054,0.64,0.9876543209876543
0.5684039087947883,True,0.95,0.9719298245614035,0.7266666666666667,0.7981651376146789,0.648,0.9878048780487805
0.5709728867623605,True,0.95,0.9719298245614035,0.7233333333333334,0.8018433179723502,0.656,0.9879518072289156
0.5791481246026701,True,0.95,0.9719298245614035,0.72,0.8009259259259259,0.656,0.9761904761904762
0.5819041986989947,True,0.95,0.9719298245614035,0.7166666666666667,0.8046511627906977,0.664,0.9764705882352941
0.6027667984189723,True,0.9466666666666667,0.9753521126760564,0.7166666666666667,0.8046511627906977,0.664,0.9764705882352941
0.6274451689389449,True,0.9433333333333334,0.9787985865724381,0.7166666666666667,0.8046511627906977,0.664,0.9764705882352941
0.64272,True,0.94,0.9787234042553191,0.7166666666666667,0.8046511627906977,0.664,0.9764705882352941
0.655902920608803,True,0.9366666666666666,0.9786476868327402,0.7166666666666667,0.8046511627906977,0.664,0.9764705882352941
0.656,True,0.9366666666666666,0.9786476868327402,0.7133333333333334,0.8037383177570093,0.664,0.9651162790697675
0.6604903078677309,True,0.9366666666666666,0.9786476868327402,0.71,0.8075117370892019,0.672,0.9655172413793104
0.6693480101608806,True,0.9366666666666666,0.9786476868327402,0.7066666666666667,0.8066037735849056,0.672,0.9545454545454546
0.6749525616698292,True,0.9366666666666666,0.9786476868327402,0.7033333333333334,0.8104265402843602,0.68,0.9550561797752809
0.6845479803376789,True,0.9333333333333333,0.9785714285714285,0.7033333333333334,0.8104265402843602,0.68,0.9550561797752809
0.6948785765809089,True,0.9333333333333333,0.9785714285714285,0.7,0.8142857142857143,0.688,0.9555555555555556
0.7360687022900764,True,0.9333333333333333,0.9785714285714285,0.6966666666666667,0.8133971291866029,0.688,0.945054945054945
0.7361690297470114,True,0.93,0.978494623655914,0.6966666666666667,0.8133971291866029,0.688,0.945054945054945
0.7378291343057397,True,0.9266666666666666,0.9784172661870504,0.6966666666666667,0.8133971291866029,0.688,0.945054945054945
0.7387110916264796,True,0.9266666666666666,0.9784172661870504,0.6933333333333334,0.8125,0.688,0.9347826086956522
0.7408675799086758,True,0.9266666666666666,0.9784172661870504,0.69,0.8164251207729468,0.696,0.9354838709677419
0.742237736542348,True,0.9233333333333333,0.9783393501805054,0.69,0.8164251207729468,0.696,0.9354838709677419
0.7469310670443815,True,0.92,0.9782608695652174,0.69,0.8164251207729468,0.696,0.9354838709677419
0.7471339665902391,True,0.9166666666666666,0.9818181818181818,0.69,0.8164251207729468,0.696,0.9354838709677419
0.7566323174742381,True,0.9166666666666666,0.9818181818181818,0.6866666666666666,0.8155339805825242,0.696,0.925531914893617
0.7570523891767416,True,0.9133333333333333,0.9817518248175182,0.6866666666666666,0.8155339805825242,0.696,0.925531914893617
0.762402088772846,True,0.9133333333333333,0.9817518248175182,0.6833333333333333,0.8146341463414634,0.696,0.9157894736842105
0.7628304821150855,True,0.9133333333333333,0.9817518248175182,0.68,0.8186274509803921,0.704,0.9166666666666666
0.7662459973629685,True,0.91,0.9853479853479854,0.68,0.8186274509803921,0.704,0.9166666666666666
0.7756226053639846,True,0.9066666666666666,0.9852941176470589,0.68,0.8186274509803921,0.704,0.9166666666666666
0.7869785082174463,True,0.9066666666666666,0.9852941176470589,0.6766666666666666,0.8226600985221675,0.712,0.9175257731958762
0.7918584928519505,True,0.9066666666666666,0.9852941176470589,0.6733333333333333,0.8217821782178217,0.712,0.9081632653061225
0.8062283737024222,True,0.9066666666666666,0.9852941176470589,0.67,0.8258706467661692,0.72,0.9090909090909091
0.8075695394436845,True,0.9033333333333333,0.985239852398524,0.67,0.8258706467661692,0.72,0.9090909090909091
0.8151140684410646,True,0.9033333333333333,0.985239852398524,0.6666666666666666,0.83,0.728,0.91
0.8168914123491838,True,0.9033333333333333,0.985239852398524,0.6633333333333333,0.8291457286432161,0.728,0.900990099009901
0.8199780461031834,True,0.9033333333333333,0.985239852398524,0.66,0.8333333333333334,0.736,0.9019607843137255
0.8228213769860375,True,0.9,0.9851851851851852,0.66,0.8333333333333334,0.736,0.9019607843137255
0.8363361233271859,True,0.9,0.9851851851851852,0.6566666666666666,0.8375634517766497,0.744,0.9029126213592233
0.8367392270102176,True,0.9,0.9851851851851852,0.6533333333333333,0.8367346938775511,0.744,0.8942307692307693
0.8415730337078652,True,0.9,0.9851851851851852,0.65,0.841025641025641,0.752,0.8952380952380953
0.8427556496107627,True,0.9,0.9851851851851852,0.6466666666666666,0.845360824742268,0.76,0.8962264150943396
0.8486293206197855,True,0.9,0.9851851851851852,0.6433333333333333,0.8497409326424871,0.768,0.897196261682243
0.8507401315789473,True,0.8966666666666666,0.9851301115241635,0.6433333333333333,0.8497409326424871,0.768,0.897196261682243
0.8526970954356846,True,0.8933333333333333,0.9850746268656716,0.6433333333333333,0.8497409326424871,0.768,0.897196261682243
0.8712559117183395,True,0.8933333333333333,0.9850746268656716,0.64,0.8489583333333334,0.768,0.8888888888888888
0.8744588744588745,True,0.8933333333333333,0.9850746268656716,0.6366666666666667,0.8534031413612565,0.776,0.8899082568807339
0.8756949630736038,True,0.8933333333333333,0.9850746268656716,0.6333333333333333,0.8578947368421053,0.784,0.8909090909090909
0.8899953682260305,True,0.8933333333333333,0.9850746268656716,0.63,0.8571428571428571,0.784,0.8828828828828829
0.9044715447154471,True,0.8933333333333333,0.9850746268656716,0.6266666666666667,0.8617021276595744,0.792,0.8839285714285714
0.9074863055386488,True,0.8933333333333333,0.9850746268656716,0.6233333333333333,0.8663101604278075,0.8,0.8849557522123894
0.9085173501577287,True,0.8933333333333333,0.9850746268656716,0.62,0.8655913978494624,0.8,0.8771929824561403
0.9099378881987578,True,0.89,0.9887640449438202,0.62,0.8655913978494624,0.8,0.8771929824561403
0.9122529644268774,True,0.8866666666666667,0.9887218045112782,0.62,0.8655913978494624,0.8,0.8771929824561403
0.912273212379936,True,0.8866666666666667,0.9887218045112782,0.6166666666666667,0.8648648648648649,0.8,0.8695652173913043
0.9150556531927357,True,0.8833333333333333,0.9886792452830189,0.6166666666666667,0.8648648648648649,0.8,0.8695652173913043
0.915068493150685,True,0.88,0.9886363636363636,0.6166666666666667,0.8648648648648649,0.8,0.8695652173913043
0.9160021265284424,True,0.88,0.9886363636363636,0.6133333333333333,0.8695652173913043,0.808,0.8706896551724138
