condition,group_id,miou_zero_minus_full,mean_margin_zero_minus_full,identity0_margin_delta,identity1_margin_delta,cmsa_full,cmsa_zero
clean,cf_e066f87c2c13ab94,-0.47984548069641364,-0.9652718930749671,-0.008052057577674243,-1.92249172857226,True,False
clean,cf_b07b21c7f04f565f,-0.47661114290986184,-0.9680565378659778,-1.9297834452794635,-0.006329630452492019,True,False
clean,acceptedpair_b6b4ada68df19e6d,-0.17206405056313723,-0.18053067119029598,-0.1248207320084388,-0.23624061037215305,True,True
clean,acceptedpair_e664875a29c6ca1e,-0.531247391920199,-0.9281352776613399,-1.7520523612406214,-0.10421819408205857,True,False
clean,acceptedpair_1faeba6a71c40b2f,-0.5503913665174047,-0.9620868139271379,-1.7918534440967329,-0.13232018375754273,True,False
clean,acceptedpair_6b2f4de6e6befefc,-0.7801469297940198,-0.7801469297940198,-0.9210169491525424,-0.6392769104354972,True,False
clean,cf_5ca001bb055cee89,-0.5363077262469353,-0.9812613714218195,-0.10475830963672805,-1.8577644332069112,True,False
clean,cf_c1b61a58ef4476a5,-0.42289390656058823,-0.8977822994177311,-0.022549927658621294,-1.7730146711768406,True,False
clean,acceptedpair_2bed1085c2cab83d,-0.48707722904294937,-0.9602136566097567,-0.003383864640371659,-1.9170434485791414,True,False
clean,acceptedpair_89b5291120448df8,-0.3011548342984176,-0.7808794665126764,-0.020729202353030773,-1.5410297306723217,True,False
clean,acceptedpair_6a8a242a4bf160a8,-0.5290452407403006,-0.9725686713326966,-0.07941612989558688,-1.8657212127698066,True,False
clean,cf_f6ab2a187f2c42e6,-0.5493062781619538,-0.9781679158264083,-0.3876198421344589,-1.5687159895183576,True,False
clean,acceptedpair_ac04c7190000db27,-0.5077832500499255,-0.9626801572664203,-0.07231496635751955,-1.8530453481753209,True,False
clean,acceptedpair_cb35232aef588ad2,-0.4858127237209676,-0.9596979747343758,-0.01861216858595971,-1.9007837808827919,True,False
clean,acceptedpair_18df4546166abc7e,-0.44592297664419317,-0.9173021545158797,-1.814582836112888,-0.020021472918871352,True,False
clean,acceptedpair_48529fa701b1d761,-0.5300152435998474,-1.0016803919484092,-0.15861996543603718,-1.8447408184607812,True,False
clean,cf_e84dca525185fb78,-0.45893845994181454,-0.9181977192010737,-0.031352097188593664,-1.8050433412135538,True,False
clean,cf_2ea2e959688af16f,-0.023408681469072434,-0.47027535748197025,-0.8937333520257956,-0.04681736293814487,False,False
clean,acceptedpair_18b4bb30bb9a0113,-0.43120812403525743,-0.8875955601772176,-1.528245757160897,-0.24694536319353833,True,False
clean,acceptedpair_3804e7a669ddae48,-0.5412905528833245,-0.9041893155638469,-0.16863828034160566,-1.639740350786088,True,False
clean,cf_2882a85afb299b70,-0.8363788804840542,-0.9629494953274116,-0.6905491720110533,-1.23534981864377,True,False
clean,acceptedpair_561a0d1cc8671699,-0.4195428393918844,-0.7693883423226506,-0.06040841349468051,-1.4783682711506207,True,False
clean,acceptedpair_c50b19c1a731738f,-0.4946465406858803,-0.9610169246316331,-0.04667365804655621,-1.87536019121671,True,False
